연번,행정동,관리단체,설치장소(도로명주소),위도,경도
1,광평동,대한민국특수임무유공자회,구미시 구미대로 14길 7-5,36.107064,128.364115
2,광평동,대한민국특수임무유공자회,구미시 광평동 792-73,36.103988,128.364512
3,광평동,대한민국특수임무유공자회,구미시 광평동 529-7,36.104764,128.364196
4,광평동,대한민국특수임무유공자회,구미시 광평동 529-13,36.104905,128.364745
5,광평동,대한민국특수임무유공자회,구미시 화신로8길 13,36.114819,128.356295
6,광평동,대한민국특수임무유공자회,구미시 광평동 154-1,36.115549,128.356713
7,광평동,대한민국특수임무유공자회,구미시 광평동 159,36.116117,128.355903
8,광평동,대한민국특수임무유공자회,구미시 광평동 166-14,36.115742,128.355568
9,광평동,대한민국특수임무유공자회,구미시 광평동 165-4,36.116322,128.354838
10,광평동,대한민국특수임무유공자회,구미시 광평동 339-2 ,36.109199,128.354189
11,광평동,대한민국특수임무유공자회,구미시 광평동 298-3,36.109395,128.356195
12,도개면,도개면(새마을부녀회),구미시 도개면 도안로 103,36.300657,128.335763
13,비산동,대한민국특수임무유공자회,신비로 9길 9-4,36.121794,128.369744
14,비산동,대한민국특수임무유공자회,비산로 3길 14-15,36.121619,128.378247
15,비산동,대한민국특수임무유공자회,비산로5안길 5-72,36.121821,128.381143
16,비산동,대한민국특수임무유공자회,비산로7길 14-39,36.121606,128.384238
17,비산동,대한민국특수임무유공자회,비산로7길 14-31,36.121573,128.383811
18,비산동,대한민국특수임무유공자회,비산로5길 28-47,36.122333,128.382451
19,비산동,대한민국특수임무유공자회,비산로5길 28-12,36.122107,128.381176
20,비산동,대한민국특수임무유공자회,비산로7길 33,36.122846,128.382418
21,비산동,대한민국특수임무유공자회,비산로1안길 21-3,36.121055,128.376121
22,상모사곡동,새마을 부녀회,박정희로 188,36.0952699,128.353408
23,상모사곡동,대한민국특수임무유공자회,상사서로27길 6,36.1020466,128.356578
24,상모사곡동,대한민국특수임무유공자회,상사서로25길 12,36.1014828,128.356235
25,상모사곡동,대한민국특수임무유공자회,사곡동 660,36.1004089,128.3583409
26,상모사곡동,대한민국특수임무유공자회,상사동로24길 9,36.0995813,128.360222
27,상모사곡동,대한민국특수임무유공자회,상사동로24길 5-56,36.1001994,128.360543
28,상모사곡동,대한민국특수임무유공자회,사곡로3길 27,36.0972982,128.358117
29,상모사곡동,대한민국특수임무유공자회,사곡로3길 21,36.0967846,128.358119
30,상모사곡동,대한민국특수임무유공자회,상림로 133,36.0979044,128.361081
31,상모사곡동,대한민국특수임무유공자회,상림로 115,36.096419,128.360956
32,상모사곡동,대한민국특수임무유공자회,사곡동 687-10,36.0959257,128.3608809
33,상모사곡동,대한민국특수임무유공자회,사곡로1길 26,36.0970265,128.357446
34,상모사곡동,대한민국특수임무유공자회,상사동로15길 10-8,36.0971652,128.357926
35,상모사곡동,대한민국특수임무유공자회,사곡로1길 5,36.0953724,128.356296
36,상모사곡동,대한민국특수임무유공자회,상모로5길 37,36.0925742,128.354316
37,상모사곡동,대한민국특수임무유공자회,상모로5길 35,36.0922773,128.354278
38,상모사곡동,대한민국특수임무유공자회,상모로5길 31,36.0920535,128.354141
39,상모사곡동,대한민국특수임무유공자회,상사서로9길 14-25,36.0917329,128.353802
40,상모사곡동,대한민국특수임무유공자회,상모로5길 22,36.0911215,128.35448
41,상모사곡동,대한민국특수임무유공자회,상모로5길 12,36.0902753,128.35441
42,상모사곡동,대한민국특수임무유공자회,상모로5길 3,36.0896126,128.354044
43,상모사곡동,대한민국특수임무유공자회,상사서로7길 17,36.0894386,128.353485
44,상모사곡동,대한민국특수임무유공자회,상모로 27,36.0891551,128.353059
45,상모사곡동,대한민국특수임무유공자회,상모로4길 12,36.0882328,128.354131
46,상모사곡동,대한민국특수임무유공자회,상사서로 128,36.0941809,128.356476
47,상모사곡동,대한민국특수임무유공자회,상사동로28길 11,36.1016539,128.360224
48,상모사곡동,대한민국특수임무유공자회,박정희로 236-8,36.0981354,128.355011
49,상모사곡동,대한민국특수임무유공자회,새마을로 150,36.1041626,128.352738
50,상모사곡동,대한민국특수임무유공자회,상모로10길 40,36.0862229,128.356561
51,상모사곡동,대한민국특수임무유공자회,상모로10길 45,36.0866694,128.357712
52,상모사곡동,대한민국특수임무유공자회,상사서로 18,36.0845323,128.357043
53,상모사곡동,대한민국특수임무유공자회,상사서로 14,36.0845323,128.357043
54,상모사곡동,대한민국특수임무유공자회,상사서로 17,36.0838217,128.356131
55,상모사곡동,대한민국특수임무유공자회,박정희로 76,36.0857596,128.352101
56,상모사곡동,대한민국특수임무유공자회,박정희로 90-14,36.0867568,128.351574
57,상모사곡동,대한민국특수임무유공자회,상모로8길 5-3,36.0893939,128.35585
58,상모사곡동,대한민국특수임무유공자회,상모로8길 19-29,36.0884431,128.356255
59,신평1동,구미시 새마을 부녀회,구미시 칠성로 32,36.1211051,128.3593826
60,신평1동,대한민국특수업무유공자회,구미시 칠성로4길 15 옆 게시대 앞,36.123008,128.3582599
61,신평1동,대한민국특수업무유공자회,구미시 칠성로4길 7-5 옆 시민행복주차장 앞,36.1230424,128.3573127
62,신평1동,대한민국특수업무유공자회,구미시 야은로41길 6-6 앞,36.1247927,128.3612184
63,신평1동,대한민국특수업무유공자회,구미시 야은로43길 14-13 인근 쓰레기 배출지,36.1260013,128.3623291
64,신평1동,대한민국특수업무유공자회,구미시 구미대로34길 5-2 맞은편,36.1216696,128.3633614
