name,value
Accept,"text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,image/apng,*/*;q=0.8,application/signed-exchange;v=b3;q=0.7"
Accept-Encoding,"gzip, deflate, br, zstd"
Accept-Language,"ko,en;q=0.9,en-US;q=0.8"
Connection,keep-alive
DNT,1
Host,data.molit.go.kr
Sec-Fetch-Dest,document
Sec-Fetch-Mode,navigate
Sec-Fetch-Site,none
Sec-Fetch-User,?1
Upgrade-Insecure-Requests,1
User-Agent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36 Edg/123.0.0.0"
sec-ch-ua,"""Microsoft Edge"";v=""123"", ""Not:A-Brand"";v=""8"", ""Chromium"";v=""123"""
sec-ch-ua-mobile,?0
sec-ch-ua-platform,"""Windows"""
